# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
B3GALT5	B3GALT5	NM_001356336.2	protein_coding	0	1	1	102	14	0	0	0	0	0	0	11	0	63	1	0	0	0	0	0	1	14
B3GALT5	B3GALT5	NM_001356338.2	protein_coding	0	1	1	71	14	0	0	0	0	0	0	11	0	42	1	0	0	0	0	0	1	4
B3GALT5	B3GALT5	NM_001356339.2	protein_coding	0	1	1	71	14	0	0	0	0	0	0	11	0	42	1	0	0	0	0	0	1	4
B3GALT5	B3GALT5	NM_006057.3	protein_coding	0	1	1	43	14	0	0	0	0	0	0	11	0	7	1	0	0	0	0	0	1	11
B3GALT5	B3GALT5	NM_033170.3	protein_coding	0	1	1	43	14	0	0	0	0	0	0	11	0	7	1	0	0	0	0	0	1	11
B3GALT5	B3GALT5	NM_033171.3	protein_coding	0	1	1	43	14	0	0	0	0	0	0	11	0	7	1	0	0	0	0	0	1	11
B3GALT5	B3GALT5	NM_033172.3	protein_coding	0	1	1	43	14	0	0	0	0	0	0	11	0	7	1	0	0	0	0	0	1	11
B3GALT5-AS1	B3GALT5-AS1	NR_026542.1		0	0	0	47	0	0	0	0	0	0	0	11	0	28	0	6	0	0	0	0	0	2
B3GALT5-AS1	B3GALT5-AS1	NR_026543.1		0	0	0	26	0	0	0	0	0	0	0	4	0	13	0	7	0	0	0	0	0	2
BACE2	BACE2	NM_012105.5	protein_coding	0	1	0	178	16	0	0	0	0	0	0	14	0	143	0	0	0	0	0	0	1	5
BACE2	BACE2	NM_138991.3	protein_coding	0	0	0	179	16	0	0	0	0	0	0	14	0	144	0	0	0	0	0	0	0	5
BACE2	BACE2	NM_138992.3	protein_coding	0	1	0	178	16	0	0	0	0	0	0	14	0	143	0	0	0	0	0	0	1	5
BACH1	BACH1	NM_001186.4	protein_coding	0	1	1	38	3	0	0	0	0	0	0	9	0	24	1	0	0	0	0	0	1	2
BACH1	BACH1	NM_206866.3	protein_coding	0	1	1	38	3	0	0	0	0	0	0	9	0	24	1	0	0	0	0	0	1	2
BACH1	BACH1	NR_027655.2		0	0	0	50	0	0	0	0	0	0	0	7	0	40	0	1	0	0	0	0	0	2
BACH1-IT2	BACH1-IT2	NR_046564.2		0	0	0	17	0	0	0	0	0	0	0	7	0	1	0	1	0	0	0	0	0	8
BACH1-IT3	BACH1-IT3	NR_146594.1		0	0	0	46	0	0	0	0	0	0	0	17	0	9	0	0	0	0	0	0	0	20
BAGE	BAGE.2	NM_001187.1.2	protein_coding	1	2	2	1060	11	1	3	0	0	0	0	126	0	883	2	0	0	1	1	0	0	39
BAGE2	BAGE2	NM_182482.2	protein_coding	1	3	3	1538	24	1	5	0	0	0	0	4	0	1468	3	0	0	1	1	0	1	39
BAGE3	BAGE3.2	NM_182481.1.2	protein_coding	1	3	3	1538	24	1	5	0	0	0	0	4	0	1468	3	0	0	1	1	0	1	39
BAGE4	BAGE4	NM_181704.1	protein_coding	1	2	2	1540	24	1	3	0	0	0	0	4	0	1472	2	0	0	1	1	0	0	39
BRWD1	BRWD1	NM_001007246.2	protein_coding	0	1	1	64	4	1	3	0	0	0	0	14	0	33	1	0	0	0	0	0	0	10
BRWD1	BRWD1	NM_018963.5	protein_coding	0	4	3	250	6	0	0	0	0	0	0	16	0	218	3	0	0	0	1	0	3	11
BRWD1	BRWD1	NM_033656.4	protein_coding	0	4	3	246	15	0	0	0	0	0	0	13	0	208	3	0	0	0	1	0	3	11
BRWD1-AS1	BRWD1-AS1	NR_046655.1		0	0	0	37	0	0	0	0	0	0	0	7	0	13	0	3	0	0	0	0	0	14
BRWD1-AS2	BRWD1-AS2	NR_111942.1		0	0	0	29	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	19
BTG3	BTG3	NM_001130914.2.2	protein_coding	0	0	0	15	0	0	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	4
BTG3	BTG3	NM_006806.5	protein_coding	0	0	0	15	0	0	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	4
BTG3-AS1	BTG3-AS1	NR_149073.1		0	0	0	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1
C21orf58	C21orf58	NM_001286462.1	protein_coding	0	4	4	69	1	1	2	0	0	0	1	27	0	34	3	0	0	0	2	0	1	7
C21orf58	C21orf58	NM_001286463.1	protein_coding	0	4	4	60	5	1	2	0	0	0	1	23	0	26	3	0	0	0	2	0	1	6
C21orf58	C21orf58	NM_001286476.1	protein_coding	0	4	4	72	3	1	5	0	0	0	1	23	0	33	3	0	0	0	2	0	1	10
C21orf58	C21orf58	NM_001286477.1	protein_coding	0	4	4	72	5	1	4	0	0	0	1	23	0	32	3	0	0	0	2	0	1	10
C21orf58	C21orf58	NM_058180.5	protein_coding	0	3	3	73	5	0	3	0	0	0	1	23	0	34	2	0	0	0	2	0	1	10
C21orf59-TCP10L	C21orf59-TCP10L	NM_001350338.2	protein_coding	0	0	1	53	5	0	0	0	0	0	0	5	0	37	1	0	0	0	0	0	0	6
C21orf59-TCP10L	C21orf59-TCP10L	NR_146638.2		0	0	0	66	0	0	0	0	0	0	0	1	0	45	0	14	0	0	0	0	0	6
C21orf59-TCP10L	C21orf59-TCP10L	NR_146639.2		0	0	0	66	0	0	0	0	0	0	0	1	0	45	0	14	0	0	0	0	0	6
C21orf62	C21orf62.2	NM_001162495.3.2	protein_coding	0	2	0	57	8	0	0	0	0	0	0	3	0	43	0	0	0	0	1	0	1	4
C21orf62	C21orf62.2	NM_001162496.3.2	protein_coding	0	1	0	58	8	0	0	0	0	0	0	3	0	43	0	0	0	0	0	0	1	4
C21orf62	C21orf62.2	NM_019596.6.2	protein_coding	0	1	0	58	8	0	0	0	0	0	0	3	0	43	0	0	0	0	0	0	1	4
C21orf62-AS1	C21orf62-AS1	NR_024622.1		0	0	0	60	0	0	0	0	0	0	0	15	0	40	0	3	0	0	0	0	0	2
C21orf62-AS1	C21orf62-AS1	NR_024623.1		0	0	0	60	0	0	0	0	0	0	0	15	0	40	0	3	0	0	0	0	0	2
C21orf91	C21orf91	NM_001100420.2	protein_coding	0	0	2	45	14	0	0	0	0	0	0	10	0	17	2	0	0	0	0	0	0	4
C21orf91	C21orf91	NM_001100421.2	protein_coding	0	0	2	45	14	0	0	0	0	0	0	10	0	17	2	0	0	0	0	0	0	4
C21orf91	C21orf91	NM_017447.4	protein_coding	0	0	2	45	14	0	0	0	0	0	0	10	0	17	2	0	0	0	0	0	0	4
C21orf91-OT1	C21orf91-OT1	NR_038870.1		0	0	0	47	0	0	0	0	0	0	0	2	0	34	0	1	0	0	0	0	0	10
C21orf91-OT1	C21orf91-OT1	NR_038871.1		0	0	0	47	0	0	0	0	0	0	0	2	0	34	0	1	0	0	0	0	0	10
C2CD2	C2CD2	NM_015500.2	protein_coding	0	3	0	189	10	0	0	0	0	0	0	7	0	153	0	0	0	0	0	0	3	19
C2CD2	C2CD2	NM_199050.3	protein_coding	0	3	0	130	10	0	0	0	0	0	0	7	0	109	0	0	0	0	0	0	3	4
CBR1	CBR1	NM_001286789.2	protein_coding	0	1	0	23	4	0	0	0	0	0	0	6	0	9	0	0	0	0	0	0	1	4
CBR1	CBR1	NM_001757.4	protein_coding	0	2	0	22	1	0	0	0	0	0	0	6	0	11	0	0	0	0	0	0	2	4
CBR3	CBR3	NM_001236.4	protein_coding	0	3	3	62	1	0	0	0	0	0	0	11	0	30	3	0	0	0	0	0	3	20
CBR3-AS1	CBR3-AS1	NR_038892.1		0	1	0	105	0	0	0	0	0	0	0	11	0	67	0	7	0	0	1	0	0	21
CBR3-AS1	CBR3-AS1	NR_038893.1		0	0	0	106	0	0	0	0	0	0	0	11	0	67	0	7	0	0	0	0	0	21
CBR3-AS1	CBR3-AS1	NR_038894.1		0	0	0	78	0	0	0	0	0	0	0	18	0	36	0	3	0	0	0	0	0	21
CBS	CBS.2	NM_000071.2.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBS	CBS.2	NM_001178008.2.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBS	CBS.2	NM_001178009.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBS	CBS.2	NM_001320298.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBSL	CBSL	NM_001321073.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBSL	CBSL	NM_001354006.1.2	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBSL	CBSL	NM_001354007.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBSL	CBSL	NM_001354008.1.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBSL	CBSL	NM_001354009.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBSL	CBSL	NM_001354010.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBSL	CBSL	NM_001354012.1.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBSL	CBSL	NM_001354014.1.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBSL	CBSL	NM_001354015.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBSL	CBSL	NR_148682.1.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCT8	CCT8	NM_001282907.1	protein_coding	0	0	0	28	0	0	3	0	0	0	0	2	0	18	0	0	0	0	0	0	0	5
CCT8	CCT8	NM_001282908.1	protein_coding	0	0	0	28	0	0	2	0	0	0	0	2	0	19	0	0	0	0	0	0	0	5
CCT8	CCT8	NM_001282909.1	protein_coding	0	0	0	28	0	0	2	0	0	0	0	2	0	19	0	0	0	0	0	0	0	5
CCT8	CCT8	NM_006585.4	protein_coding	0	0	0	28	0	0	2	0	0	0	0	2	0	19	0	0	0	0	0	0	0	5
CFAP298	CFAP298	NM_001350334.2	protein_coding	0	0	0	18	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	6
CFAP298	CFAP298	NM_001350335.1	protein_coding	0	0	0	18	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6
CFAP298	CFAP298	NM_001350336.2	protein_coding	0	0	0	18	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	6
CFAP298	CFAP298	NM_001350337.2	protein_coding	0	0	0	18	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	6
CFAP298	CFAP298	NM_021254.4	protein_coding	0	0	0	18	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	6
CFAP410	CFAP410	NM_001271440.2	protein_coding	0	1	2	26	0	0	0	0	0	0	0	9	0	14	2	0	0	0	1	0	1	3
CFAP410	CFAP410	NM_001271441.2	protein_coding	0	2	2	25	0	0	0	0	0	0	0	9	0	13	2	0	0	0	2	0	2	3
CFAP410	CFAP410	NM_001271442.1	protein_coding	0	0	2	26	0	0	0	0	0	0	0	9	0	14	2	0	0	0	1	0	0	3
CFAP410	CFAP410	NM_004928.3	protein_coding	0	1	2	26	0	0	0	0	0	0	0	9	0	14	2	0	0	0	1	0	1	3
CHAF1B	CHAF1B	NM_005441.3	protein_coding	0	0	1	56	2	0	0	0	0	0	0	5	0	45	1	0	0	0	0	0	0	4
CHODL	CHODL	NM_001204174.1	protein_coding	0	2	0	17	1	0	0	0	0	0	0	4	0	13	0	0	0	0	2	0	0	1
CHODL	CHODL	NM_001204175.1	protein_coding	0	2	0	463	1	0	0	0	0	0	0	4	0	452	0	0	0	0	2	0	0	8
CHODL	CHODL	NM_001204176.1	protein_coding	0	2	0	463	1	0	1	0	0	0	0	4	0	451	0	0	0	0	2	0	0	8
CHODL	CHODL	NM_001204177.1	protein_coding	0	2	0	463	1	0	0	0	0	0	0	4	0	452	0	0	0	0	2	0	0	8
CHODL	CHODL	NM_001204178.1	protein_coding	0	2	0	463	1	0	1	0	0	0	0	4	0	451	0	0	0	0	2	0	0	8
CHODL	CHODL	NM_024944.3	protein_coding	0	2	0	19	1	0	0	0	0	0	0	4	0	13	0	0	0	0	2	0	0	3
CHODL-AS1	CHODL-AS1	NR_024354.1		0	0	0	83	0	0	0	0	0	0	0	6	0	72	0	0	0	0	0	0	0	5
CLDN14	CLDN14	NM_001146077.1	protein_coding	0	3	0	364	0	0	0	0	0	0	0	10	0	344	0	0	0	0	0	0	3	10
CLDN14	CLDN14	NM_001146078.3	protein_coding	0	3	0	242	0	0	1	0	0	0	0	10	0	224	0	0	0	0	0	0	3	7
CLDN14	CLDN14	NM_001146079.2	protein_coding	0	3	0	72	0	0	2	0	0	0	0	10	0	45	0	0	0	0	0	0	3	15
CLDN14	CLDN14	NM_012130.4	protein_coding	0	3	0	34	0	0	0	0	0	0	0	10	0	14	0	0	0	0	0	0	3	10
CLDN14	CLDN14	NM_144492.3	protein_coding	0	3	0	72	0	0	2	0	0	0	0	10	0	45	0	0	0	0	0	0	3	15
CLDN17	CLDN17	NM_012131.3	protein_coding	0	0	1	5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4
CLDN8	CLDN8	NM_199328.3	protein_coding	0	0	2	6	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4
CLIC6	CLIC6	NM_001317009.2	protein_coding	0	4	1	80	3	0	2	0	0	0	0	4	0	64	1	0	0	0	0	0	4	7
CLIC6	CLIC6	NM_053277.3	protein_coding	0	4	1	80	3	0	2	0	0	0	0	4	0	64	1	0	0	0	0	0	4	7
COL18A1	COL18A1	NM_030582.4	protein_coding	1	13	4	170	4	0	0	0	0	1	0	15	0	148	3	0	1	0	3	0	13	4
COL18A1	COL18A1	NM_130444.3	protein_coding	1	13	5	169	4	0	0	0	0	1	0	15	0	147	4	0	1	0	3	0	13	4
COL18A1	COL18A1	NM_130445.4	protein_coding	1	12	3	238	4	0	0	0	0	1	0	15	0	213	2	0	1	0	3	0	12	7
COL18A1-AS1	COL18A1-AS1	NR_027498.1		0	0	0	27	0	0	0	0	0	0	0	18	0	4	0	2	0	0	0	0	0	3
COL18A1-AS1	COL18A1-AS1	NR_028082.1		0	0	0	27	0	0	0	0	0	0	0	18	0	2	0	4	0	0	0	0	0	3
COL18A1-AS2	COL18A1-AS2	NR_052004.1		0	0	0	14	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	10
COL6A1	COL6A1	NM_001848.3	protein_coding	0	3	3	129	3	0	1	0	0	0	0	9	0	99	3	0	0	0	0	0	3	17
COL6A2	COL6A2	NM_001849.4	protein_coding	0	11	6	143	1	0	0	0	0	0	0	23	0	105	6	0	0	0	3	0	9	16
COL6A2	COL6A2	NM_058174.3	protein_coding	0	8	4	137	2	0	0	0	0	0	0	26	0	95	4	0	0	0	3	0	6	16
COL6A2	COL6A2	NM_058175.2	protein_coding	0	8	4	137	3	0	0	0	0	0	0	26	0	94	4	0	0	0	3	0	6	16
CRYAA	CRYAA	NM_000394.4.2	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
CRYAA	CRYAA	NM_001363766.1	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
CRYAA2	CRYAA2	NM_001314050.2.2	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
CRYAA2	CRYAA2	NM_001320719.1	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
CRYZL1	CRYZL1	NM_145858.3	protein_coding	0	0	0	50	1	0	0	0	0	0	0	4	0	40	0	0	0	0	0	0	0	5
CSTB	CSTB	NM_000100.3	protein_coding	0	0	0	21	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	13
CXADR	CXADR	NM_001207063.2	protein_coding	0	0	1	123	10	0	0	0	0	0	0	17	0	94	1	0	0	0	0	0	0	2
CXADR	CXADR	NM_001207064.2	protein_coding	0	0	1	123	10	0	0	0	0	0	0	17	0	94	1	0	0	0	0	0	0	2
CXADR	CXADR	NM_001207065.2	protein_coding	0	0	1	123	10	0	0	0	0	0	0	17	0	94	1	0	0	0	0	0	0	2
CXADR	CXADR	NM_001207066.1	protein_coding	0	1	0	147	0	0	0	0	0	0	0	3	0	142	0	0	0	0	0	0	1	2
CXADR	CXADR	NM_001338.5	protein_coding	0	1	0	123	10	0	0	0	0	0	0	17	0	94	0	0	0	0	0	0	1	2
CYP4F29P	CYP4F29P	NR_026755.1		0	0	0	19	0	0	0	0	0	0	0	7	0	4	0	1	0	0	0	0	0	7
CYYR1	CYYR1	NM_001320768.2	protein_coding	0	1	0	146	4	0	0	0	0	0	0	2	0	139	0	0	0	0	0	0	1	1
CYYR1	CYYR1	NM_052954.5	protein_coding	0	1	0	146	4	0	0	0	0	0	0	2	0	139	0	0	0	0	0	0	1	1
CYYR1	CYYR1	NR_135472.2		0	0	0	147	0	0	0	0	0	0	0	2	0	139	0	5	0	0	0	0	0	1
CYYR1-AS1	CYYR1-AS1	NR_135515.1		0	1	0	219	0	0	0	0	0	0	0	6	0	203	0	5	0	0	1	0	0	6
CYYR1-AS1	CYYR1-AS1	NR_135516.1		0	0	0	193	0	0	0	0	0	0	0	4	0	184	0	1	0	0	0	0	0	4
D21S2088E	D21S2088E	NR_040254.1		0	0	0	51	0	0	0	0	0	0	0	7	0	37	0	2	0	0	0	0	0	5
DIP2A	DIP2A	NM_001146115.2	protein_coding	0	2	1	193	0	0	0	0	0	0	0	12	0	175	1	0	0	0	0	0	2	6
DIP2A	DIP2A	NM_001146116.1	protein_coding	0	7	1	219	2	0	0	0	0	0	0	4	0	208	1	0	0	0	1	0	6	6
DIP2A	DIP2A	NM_001353942.1	protein_coding	0	7	1	219	2	0	0	0	0	0	0	4	0	208	1	0	0	0	1	0	6	6
DIP2A	DIP2A	NM_001353943.1	protein_coding	0	7	1	219	1	0	0	0	0	0	0	4	0	209	1	0	0	0	1	0	6	6
DIP2A	DIP2A	NM_001353944.2	protein_coding	0	2	0	194	0	0	0	0	0	0	0	12	0	176	0	0	0	0	0	0	2	6
DIP2A	DIP2A	NM_015151.4	protein_coding	0	7	1	219	2	0	0	0	0	0	0	4	0	208	1	0	0	0	1	0	6	6
DIP2A	DIP2A	NM_206889.3	protein_coding	0	3	1	197	2	0	0	0	0	0	0	10	0	179	1	0	0	0	0	0	3	6
DIP2A	DIP2A	NM_206890.3	protein_coding	0	2	1	193	0	0	0	0	0	0	0	12	0	175	1	0	0	0	0	0	2	6
DIP2A	DIP2A	NM_206891.3	protein_coding	0	2	1	191	1	0	0	0	0	0	0	13	0	171	1	0	0	0	0	0	2	6
DIP2A-IT1	DIP2A-IT1	NR_046400.1		0	0	0	21	0	0	0	0	0	0	0	3	0	13	0	0	0	0	0	0	0	5
DNAJC28	DNAJC28	NM_001040192.2	protein_coding	1	0	0	25	0	0	0	0	0	0	0	4	1	2	0	0	0	0	0	0	0	19
DNAJC28	DNAJC28	NM_001320746.2	protein_coding	1	0	0	25	0	0	0	0	0	0	0	4	1	2	0	0	0	0	0	0	0	19
